# vertices edges time_seconds
300 600 0.0025311
350 700 0.00280946
400 800 0.0036324
450 900 0.00440954
500 1000 0.0038791
550 1100 0.0064449
600 1200 0.00488422
650 1300 0.00795008
700 1400 0.00504784
750 1500 0.0062184
800 1600 0.007295
850 1700 0.0124669
900 1800 0.00944246
950 1900 0.0153878
1000 2000 0.00938484
1050 2100 0.0124662
1100 2200 0.00989136
1150 2300 0.0183702
1200 2400 0.00977792
1250 2500 0.019784
1300 2600 0.0147098
1350 2700 0.0198191
1400 2800 0.0136553
1450 2900 0.01403
1500 3000 0.0123712
1550 3100 0.0202255
1600 3200 0.0172346
1650 3300 0.0244807
1700 3400 0.0205986
1750 3500 0.0184317
1800 3600 0.015953
1850 3700 0.0230945
1900 3800 0.0165311
1950 3900 0.0195217
2000 4000 0.0230726
2050 4100 0.0236345
2100 4200 0.0183398
2150 4300 0.0246649
2200 4400 0.0218182
2250 4500 0.0204786
2300 4600 0.0255106
2350 4700 0.0284585
2400 4800 0.028141
2450 4900 0.0243544
2500 5000 0.0260164
2550 5100 0.0294425
2600 5200 0.0304324
2650 5300 0.0341109
2700 5400 0.0274635
2750 5500 0.0291764
2800 5600 0.030297
2850 5700 0.0257321
2900 5800 0.0342088
2950 5900 0.0351452
3000 6000 0.0254481
3050 6100 0.0281021
3100 6200 0.0347738
3150 6300 0.0273624
3200 6400 0.0426917
3250 6500 0.0321875
3300 6600 0.036772
3350 6700 0.0395848
3400 6800 0.0368884
3450 6900 0.0384555
3500 7000 0.0404902
3550 7100 0.0395032
3600 7200 0.0423967
3650 7300 0.0406101
3700 7400 0.048625
3750 7500 0.054992
3800 7600 0.0403324
3850 7700 0.0470137
3900 7800 0.0476015
3950 7900 0.0465702
