# vertices edges time_seconds
300 5100 0.0044905
350 6300 0.0059049
400 8000 0.0103717
450 9450 0.0087595
500 11000 0.0125361
550 12650 0.0119861
600 14400 0.0157118
650 16250 0.020882
700 18200 0.0186385
750 20250 0.023381
800 22400 0.0274995
850 24650 0.0264902
900 27000 0.0273884
950 28500 0.0313036
1000 31000 0.0312371
1050 33600 0.0348488
1100 36300 0.0383295
1150 37950 0.0386861
1200 40800 0.0420028
1250 43750 0.0457311
1300 46800 0.0515878
1350 48600 0.0507229
1400 51800 0.054525
1450 55100 0.0572994
1500 57000 0.0603365
1550 60450 0.0636773
1600 64000 0.0698139
1650 66000 0.070947
1700 69700 0.0748095
1750 71750 0.0758216
1800 75600 0.0844067
1850 79550 0.0865179
1900 81700 0.0883333
1950 85800 0.0930026
2000 88000 0.095409
2050 92250 0.103022
2100 94500 0.105366
2150 98900 0.111205
2200 101200 0.113726
2250 105750 0.117824
2300 108100 0.123053
2350 112800 0.125957
2400 115200 0.127756
2450 120050 0.143402
2500 125000 0.138764
2550 127500 0.1429
2600 130000 0.148645
2650 135150 0.157773
2700 137700 0.158109
2750 143000 0.165813
2800 145600 0.164175
2850 151050 0.170813
2900 153700 0.171984
2950 159300 0.19471
3000 162000 0.186919
3050 167750 0.194962
3100 170500 0.192594
3150 176400 0.202903
3200 179200 0.216022
3250 185250 0.21251
3300 188100 0.219497
3350 190950 0.223427
3400 197200 0.226359
3450 200100 0.282689
3500 206500 0.253088
3550 209450 0.242838
3600 216000 0.25288
3650 219000 0.25487
3700 222000 0.261509
3750 228750 0.268731
3800 231800 0.271761
3850 238700 0.28878
3900 241800 0.281461
3950 244900 0.287307
