# vertices edges time_seconds
300 5100 0.004018
350 6300 0.00523105
400 8000 0.00679606
450 9450 0.0104001
500 11000 0.0141654
550 12650 0.0131016
600 14400 0.014663
650 16250 0.0170228
700 18200 0.0212593
750 20250 0.0228822
800 22400 0.0288105
850 24650 0.0287926
900 27000 0.0301282
950 28500 0.0340779
1000 31000 0.0370171
1050 33600 0.0406705
1100 36300 0.0445553
1150 37950 0.0581702
1200 40800 0.0530887
1250 43750 0.0571715
1300 46800 0.0630909
1350 48600 0.0655712
1400 51800 0.0698994
1450 55100 0.0770555
1500 57000 0.0818059
1550 60450 0.0870308
1600 64000 0.091257
1650 66000 0.097433
1700 69700 0.102672
1750 71750 0.110964
1800 75600 0.116061
1850 79550 0.138039
1900 81700 0.139969
1950 85800 0.136255
2000 88000 0.14524
2050 92250 0.147685
2100 94500 0.157403
2150 98900 0.160467
2200 101200 0.174029
2250 105750 0.18403
2300 108100 0.185555
2350 112800 0.193638
2400 115200 0.202119
2450 120050 0.218144
2500 125000 0.220016
2550 127500 0.223359
2600 130000 0.254696
2650 135150 0.240678
2700 137700 0.25072
2750 143000 0.26898
2800 145600 0.2695
2850 151050 0.290794
2900 153700 0.310533
2950 159300 0.31449
3000 162000 0.330173
3050 167750 0.423907
3100 170500 0.357005
3150 176400 0.374147
3200 179200 0.362704
3250 185250 0.379795
3300 188100 0.421812
3350 190950 0.415922
3400 197200 0.451221
3450 200100 0.505563
3500 206500 0.535004
3550 209450 0.514641
3600 216000 0.520211
3650 219000 0.478336
3700 222000 0.470149
3750 228750 0.578012
3800 231800 0.610993
3850 238700 0.566817
3900 241800 0.560519
3950 244900 0.532799
