# vertices edges time_seconds
300 22500 0.0219805
350 30625 0.0307622
400 40000 0.0413569
450 50625 0.0591528
500 62500 0.0690952
550 75625 0.0821489
600 90000 0.0990423
650 105625 0.11596
700 122500 0.134445
750 140625 0.15855
800 160000 0.181705
850 180625 0.203865
900 202500 0.233598
950 225625 0.277949
1000 250000 0.28948
1050 275625 0.335083
1100 302500 0.358988
1150 330625 0.395394
1200 360000 0.440346
1250 390625 0.512314
1300 422500 0.517739
1350 455625 0.555898
1400 490000 0.604008
1450 525625 0.744194
1500 562500 0.710073
1550 600625 0.782044
1600 640000 0.788704
1650 680625 0.841191
1700 722500 0.916307
1750 765625 0.953031
1800 810000 1.02576
1850 855625 1.09826
1900 902500 1.25746
1950 950625 1.25428
2000 1000000 1.37543
2050 1050625 1.3433
2100 1102500 1.46384
2150 1155625 1.56918
2200 1210000 1.60921
2250 1265625 1.6646
2300 1322500 1.82481
2350 1380625 1.87931
2400 1440000 2.02212
2450 1500625 1.9858
2500 1562500 2.05804
2550 1625625 2.24307
2600 1690000 2.28134
2650 1755625 2.39313
2700 1822500 2.44986
2750 1890625 2.67558
2800 1960000 2.78281
2850 2030625 2.92542
2900 2102500 3.06631
2950 2175625 2.95872
3000 2250000 3.03142
3050 2325625 3.23444
3100 2402500 3.37448
3150 2480625 3.40893
3200 2560000 3.63417
3250 2640625 3.66792
3300 2722500 3.85977
3350 2805625 4.09995
3400 2890000 4.15251
3450 2975625 4.40469
3500 3062500 4.39434
3550 3150625 4.56867
3600 3240000 4.59622
3650 3330625 4.66607
3700 3422500 4.91953
3750 3515625 5.01479
3800 3610000 5.27047
3850 3705625 5.43145
3900 3802500 5.42353
3950 3900625 5.53488
