# vertices edges time_seconds
300 22500 0.0219035
350 30625 0.0269444
400 40000 0.0351118
450 50625 0.0424652
500 62500 0.0545475
550 75625 0.0595537
600 90000 0.0854217
650 105625 0.0846549
700 122500 0.115944
750 140625 0.108561
800 160000 0.123895
850 180625 0.14255
900 202500 0.18722
950 225625 0.210073
1000 250000 0.206498
1050 275625 0.273057
1100 302500 0.24466
1150 330625 0.272101
1200 360000 0.295606
1250 390625 0.33439
1300 422500 0.367242
1350 455625 0.367817
1400 490000 0.411746
1450 525625 0.455231
1500 562500 0.432323
1550 600625 0.515872
1600 640000 0.476746
1650 680625 0.567061
1700 722500 0.635191
1750 765625 0.668827
1800 810000 0.650639
1850 855625 0.853479
1900 902500 0.805127
1950 950625 0.780875
2000 1000000 0.817024
2050 1050625 0.928363
2100 1102500 0.864216
2150 1155625 0.933277
2200 1210000 1.09249
2250 1265625 0.993322
2300 1322500 1.05581
2350 1380625 1.18259
2400 1440000 1.16518
2450 1500625 1.32466
2500 1562500 1.26144
2550 1625625 1.25342
2600 1690000 1.46304
2650 1755625 1.46637
2700 1822500 1.50813
2750 1890625 1.53265
2800 1960000 1.58457
2850 2030625 1.56355
2900 2102500 1.64096
2950 2175625 1.69968
3000 2250000 1.74929
3050 2325625 1.96136
3100 2402500 2.00183
3150 2480625 2.03314
3200 2560000 2.099
3250 2640625 2.21936
3300 2722500 2.32957
3350 2805625 2.27846
3400 2890000 2.30258
3450 2975625 2.25321
3500 3062500 2.3262
3550 3150625 2.53146
3600 3240000 2.49455
3650 3330625 2.51612
3700 3422500 2.85732
3750 3515625 2.70861
3800 3610000 2.92638
3850 3705625 3.0772
3900 3802500 3.04197
3950 3900625 3.17977
