# vertices edges time_seconds
300 600 0.0150546
350 700 0.0118428
400 800 0.0148371
450 900 0.0250711
500 1000 0.0206133
550 1100 0.0237229
600 1200 0.0181778
650 1300 0.0186523
700 1400 0.0278299
750 1500 0.0198038
800 1600 0.0410936
850 1700 0.0479792
900 1800 0.0615916
950 1900 0.0337301
1000 2000 0.0282542
1050 2100 0.0239315
1100 2200 0.0328704
1150 2300 0.0267345
1200 2400 0.0289021
1250 2500 0.0242283
1300 2600 0.0290964
1350 2700 0.0282013
1400 2800 0.0301177
1450 2900 0.0367613
1500 3000 0.0403723
1550 3100 0.040397
1600 3200 0.0409214
1650 3300 0.0378854
1700 3400 0.0428006
1750 3500 0.0360257
1800 3600 0.0461629
1850 3700 0.0576214
1900 3800 0.0585889
1950 3900 0.0530702
2000 4000 0.0487952
2050 4100 0.0530053
2100 4200 0.0538315
2150 4300 0.0594756
2200 4400 0.0440217
2250 4500 0.0599361
2300 4600 0.0458507
2350 4700 0.0552555
2400 4800 0.0556202
2450 4900 0.0638009
2500 5000 0.0660133
2550 5100 0.0803698
2600 5200 0.0522463
2650 5300 0.0652412
2700 5400 0.0698121
2750 5500 0.0724132
2800 5600 0.0668142
2850 5700 0.070589
2900 5800 0.0888604
2950 5900 0.0614304
3000 6000 0.0632672
3050 6100 0.105473
3100 6200 0.0838663
3150 6300 0.0732408
3200 6400 0.0698534
3250 6500 0.082051
3300 6600 0.0779633
3350 6700 0.0778277
3400 6800 0.0748728
3450 6900 0.0877495
3500 7000 0.0935614
3550 7100 0.0833964
3600 7200 0.0897418
3650 7300 0.084656
3700 7400 0.0793007
3750 7500 0.100596
3800 7600 0.093663
3850 7700 0.0847456
3900 7800 0.0773991
3950 7900 0.0791172
