# vertices edges time_seconds
300 5100 0.00654704
350 6300 0.00811434
400 8000 0.0107302
450 9450 0.0123202
500 11000 0.0107271
550 12650 0.015752
600 14400 0.0151405
650 16250 0.0183399
700 18200 0.0288501
750 20250 0.0219452
800 22400 0.0294473
850 24650 0.0414041
900 27000 0.0373041
950 28500 0.0297895
1000 31000 0.0408811
1050 33600 0.0292377
1100 36300 0.0335546
1150 37950 0.0383838
1200 40800 0.0424692
1250 43750 0.0390825
1300 46800 0.0363004
1350 48600 0.0483637
1400 51800 0.0417362
1450 55100 0.0432272
1500 57000 0.0485473
1550 60450 0.0492733
1600 64000 0.0487156
1650 66000 0.0601164
1700 69700 0.0772994
1750 71750 0.0548184
1800 75600 0.0553867
1850 79550 0.0578094
1900 81700 0.0895929
1950 85800 0.0571964
2000 88000 0.0555961
2050 92250 0.10189
2100 94500 0.0865468
2150 98900 0.0698122
2200 101200 0.0668274
2250 105750 0.0767989
2300 108100 0.0735375
2350 112800 0.0835772
2400 115200 0.0849552
2450 120050 0.0832077
2500 125000 0.0822322
2550 127500 0.0814622
2600 130000 0.0827777
2650 135150 0.0920408
2700 137700 0.0879427
2750 143000 0.0932729
2800 145600 0.088733
2850 151050 0.101235
2900 153700 0.0832084
2950 159300 0.107153
3000 162000 0.0898684
3050 167750 0.109245
3100 170500 0.113553
3150 176400 0.104755
3200 179200 0.103883
3250 185250 0.110607
3300 188100 0.106168
3350 190950 0.118023
3400 197200 0.112068
3450 200100 0.124001
3500 206500 0.135611
3550 209450 0.119839
3600 216000 0.135597
3650 219000 0.145719
3700 222000 0.137316
3750 228750 0.116088
3800 231800 0.133693
3850 238700 0.124908
3900 241800 0.138254
3950 244900 0.121813
