# vertices edges time_seconds
300 22500 0.00853738
350 30625 0.00831421
400 40000 0.0211136
450 50625 0.0193354
500 62500 0.020045
550 75625 0.0222568
600 90000 0.0216607
650 105625 0.0286068
700 122500 0.0336476
750 140625 0.0397026
800 160000 0.036973
850 180625 0.0500238
900 202500 0.0540124
950 225625 0.0604565
1000 250000 0.0817489
1050 275625 0.0642242
1100 302500 0.085892
1150 330625 0.0814338
1200 360000 0.0911119
1250 390625 0.105324
1300 422500 0.10683
1350 455625 0.112293
1400 490000 0.108777
1450 525625 0.114224
1500 562500 0.123841
1550 600625 0.13473
1600 640000 0.150889
1650 680625 0.150331
1700 722500 0.158615
1750 765625 0.170018
1800 810000 0.188925
1850 855625 0.184926
1900 902500 0.1953
1950 950625 0.221748
2000 1000000 0.226485
2050 1050625 0.240257
2100 1102500 0.240293
2150 1155625 0.254224
2200 1210000 0.273227
2250 1265625 0.279803
2300 1322500 0.288798
2350 1380625 0.302839
2400 1440000 0.311889
2450 1500625 0.328579
2500 1562500 0.334379
2550 1625625 0.347914
2600 1690000 0.365824
2650 1755625 0.384047
2700 1822500 0.391892
2750 1890625 0.405002
2800 1960000 0.417714
2850 2030625 0.428471
2900 2102500 0.452959
2950 2175625 0.462706
3000 2250000 0.486773
3050 2325625 0.504827
3100 2402500 0.512547
3150 2480625 0.530163
3200 2560000 0.547789
3250 2640625 0.566483
3300 2722500 0.575872
3350 2805625 0.606114
3400 2890000 0.624111
3450 2975625 0.645136
3500 3062500 0.665754
3550 3150625 0.711536
3600 3240000 0.696047
3650 3330625 0.726206
3700 3422500 0.725294
3750 3515625 0.817367
3800 3610000 0.780444
3850 3705625 0.800228
3900 3802500 0.811621
3950 3900625 0.83789
